MNEMONICO,IMM_CODE,IMM_BYTES,IMM_CYCLES,DIR_CODE,DIR_BYTES,DIR_CYCLES,"IND,X_CODE","IND,X_BYTES","IND,X_CYCLES","IND,Y_CODE","IND,Y_BYTES","IND,Y_CYCLES",EXT_CODE,EXT_BYTES,EXT_CYCLES,INH_CODE,INH_BYTES,INH_CYCLES,REL_CODE,REL_BYTES,REL_CYCLES,Banderas de estado,,,,,,,
rol,-- ,-- ,-- ,-- ,-- ,-- ,69,6,2,18 69,7,3,79,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
rola,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,49,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
rolb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,59,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
ror,-- ,-- ,-- ,-- ,-- ,-- ,6 6,6,2,18 66,7,3,76,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
rora,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,46,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
rorb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,56,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
rti,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,3B,12,1,-- ,-- ,-- ,X,X,X,X,X,X,X,X
rts,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,39,5,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
sba,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,10,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
sbca,82,2,2,92,3,2,A2,4,2,18 A2,5,3,B2,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
sbcb,C2,2,2,D2,3,2,E2,4,2,18 E2,5,3,F2,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
sec,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,OD,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,1
sei,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,OF,2,1,-- ,-- ,-- ,-- ,-- ,-- ,1,-- ,-- ,-- ,-- 
sev,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,OB,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,1,-- 
